Locus tag,Locus,log_fc,pvalue
Rv2484c,,-0.37750850503042643,0.2518
Rv3552,,-0.37727757284566,0.1636
Rv1912c,fadB5,-0.37637593872995123,0.2687
Rv2263,,-0.37438642868439703,0.1821
Rv2982c,gpdA2,-0.3739932634439926,0.0444
Rv1229c,mrp,-0.3739739521191646,0.0924
Rv1660,pks10,-0.37334314034051597,0.1686
Rv0386,,-0.372467171156011,0.0166
Rv3032,,-0.3719910737401775,0.3075
Rv3560c,fadE30,-0.37044505401564204,0.1537
Rv0077c,,-0.3693291439453098,0.0314
Rv0926c,,-0.36911530744006465,0.0338
Rv2305,,-0.3688486959245353,0.076
Rv1315,murA,-0.36882601617028377,0.048
Rv3314c,deoA,-0.368776782240071,0.1618
Rv2670c,,-0.36795550146780304,0.0636
Rv0413,mutT3,-0.36748267807184687,0.042
Rv0232,,-0.36500932437634676,0.1606
Rv2717c,,-0.3634798923479999,0.4189
Rv2285,,-0.36285419595636376,0.1044
Rv2713,sthA,-0.36282564811720436,0.0084
Rv1543,,-0.36241413679345585,0.1703
Rv3624c,hpt,-0.36227606999652046,0.0496
Rv0787A,,-0.36191869818183287,0.3226
Rv2406c,,-0.3615144164309032,0.3204
Rv0269c,,-0.3614521308768427,0.338
Rv2503c,scoB,-0.36127408874654743,0.1068
Rv3342,,-0.3606575210402031,0.1036
Rv3809c,glf,-0.36039589468150507,0.1023
Rv3302c,glpD2,-0.3587945980803738,0.1054
Rv3458c,rpsD,-0.35763565123592944,0.1456
Rv0703,rplW,-0.35748993698288156,0.2938
Rv1058,fadD14,-0.35599156276865973,0.0329
Rv1521,fadD25,-0.35457823291201457,0.0029
Rv0820,phoT,-0.3536672614032833,0.2013
Rv3874,esxB,-0.352771929037442,0.1207
Rv0721,rpsE,-0.3520428602784084,0.3848
Rv2361c,,-0.3505093646328935,0.2959
Rv3086,adhD,-0.3504302215395371,0.0767
Rv0486,mshA,-0.35037086569911974,0.0207
Rv1294,thrA,-0.3502209412170048,0.006
Rv0001,dnaA,-0.34985487392815867,0.006
Rv2581c,,-0.3488842444394558,0.138
Rv0390,,-0.34813486348035094,0.1357
Rv3761c,fadE36,-0.34745918517828805,0.1329
Rv1699,pyrG,-0.34584508159949384,0.0015
Rv3206c,moeB1,-0.34576958461400853,0.1305
Rv3301c,phoY1,-0.34435693744842244,0.0431
Rv3232c,ppk2,-0.34369261175615645,0.446
Rv1381,pyrC,-0.3408910225936539,0.0901
Rv2405,,-0.3406949463111143,0.077
Rv1655,argD,-0.3403008296144311,0.1515
Rv2902c,rnhB,-0.3398220376117665,0.1025
Rv1473,,-0.33970737132118484,0.0921
Rv3826,fadD23,-0.33969161459116076,0.018
Rv1191,,-0.33934301612643236,0.1895
Rv3384c,vapC46,-0.3392452043123044,0.3723
Rv0700,rpsJ,-0.3383733240210874,0.061
Rv0379,secE2,-0.3377358647458949,0.0322
Rv3734c,tgs2,-0.3376606425295,0.1448
Rv3651,,-0.3372367909779013,0.2605
Rv3786c,,-0.336887102392462,0.0442
Rv0923c,,-0.33633704368647477,0.1053
Rv0743c,,-0.3359773646007685,0.0755
Rv3270,ctpC,-0.3355564043417652,0.1676
Rv3820c,papA2,-0.3355011453167343,0.0325
Rv3392c,cmaA1,-0.334461132695384,0.0072
Rv2954c,,-0.33395081805976334,0.06
Rv2506,,-0.33364510894976385,0.3291
Rv1751,,-0.332341386114933,0.0716
Rv1998c,,-0.3322084689967877,0.0586
Rv0198c,zmp1,-0.3317864605337036,0.0564
Rv0571c,,-0.3308343485061743,0.0381
Rv1496,,-0.3289594665003125,0.1337
Rv2466c,,-0.3278820075320734,0.3159
Rv2286c,,-0.3278820075320734,0.3159
Rv2192c,trpD,-0.3274737673116598,0.0559
Rv3076,,-0.32680276237462746,0.2813
Rv2402,,-0.32588820311364247,0.006
Rv3151,nuoG,-0.3257170929115464,0.0737
Rv0613c,,-0.3252042393446001,0.0033
Rv2291,sseB,-0.3252006848967486,0.133
Rv3120,,-0.3249265170794759,0.1027
Rv0405,pks6,-0.3248055902094977,0.037
Rv1661,pks7,-0.3238443103507787,0.1149
Rv2500c,fadE19,-0.32310395116328744,0.153
Rv0230c,php,-0.3228278669207435,0.0369
Rv0896,gltA2,-0.3227931513659882,0.1442
Rv3376,,-0.3223227538068311,0.0165
Rv1399c,nlhH,-0.3223047565568489,0.2684
Rv1124,ephC,-0.32143203933242986,0.1101
